Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,626560,3417,4293.72,0.8,0.77,0.82,Better,No,0.62,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,,,,,280,0,1.9,0,0,1.57,Same,Yes,1.07,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,27808,58,113.63,0.51,0.39,0.66,Better,Yes,0.98,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,9413,235,250.7,0.94,0.82,1.06,Same,No,0.97,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,13078,43,53.78,0.8,0.59,1.07,Same,No,1.35,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,113922,176,219.6,0.8,0.69,0.93,Better,No,0.88,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,28821,669,772.9,0.87,0.8,0.93,Better,No,1.07,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",,,,,12622,81,99.03,0.82,0.65,1.01,Same,No,0.98,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",,,,,1675,8,12.94,0.62,0.29,1.17,Same,Yes,0.9,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,43979,228,261.49,0.87,0.76,0.99,Better,No,0.97,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,48735,172,193.01,0.89,0.77,1.03,Same,No,0.95,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgery,,,,,19610,89,153.82,0.58,0.47,0.71,Better,Yes,0.99,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,,,,,470,3,5.19,0.58,0.15,1.57,Same,Yes,0.33,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,37080,208,244.83,0.85,0.74,0.97,Better,No,0.98,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,19714,117,151.89,0.77,0.64,0.92,Better,No,1.03,
