Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Notes
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,18796,89,127.45,0.7,0.56,0.86,Better,Yes,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,8607,12,34.66,0.35,0.19,0.59,Better,Yes,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,207,4,3.58,1.12,0.36,2.7,Same,No,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,1708,12,19.17,0.63,0.34,1.06,Same,Yes,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,363,1,0.95,1.05,0.03,5.85,Same,No,¥ See Data Dictionary
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,717,13,17.94,0.72,0.4,1.21,Same,No,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,1817,8,10.03,0.8,0.37,1.52,Same,No,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,1043,0,0.73,0,0,5.05,Same,Yes,¥ See Data Dictionary
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,33,1,0.14,,,,,,
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,2,0,0.04,,,,,,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,89,0,0.72,0,0,5.12,Same,Yes,¥ See Data Dictionary
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,17,0,0.19,,,,,,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,614,4,3.93,1.02,0.32,2.46,Same,No,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,73,2,5.04,0.4,0.07,1.31,Same,Yes,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,260,0,0.75,0,0,4.89,Same,Yes,¥ See Data Dictionary
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,1163,6,14.03,0.43,0.17,0.89,Better,Yes,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,1168,24,13.09,1.83,1.2,2.69,Worse,No,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,915,2,2.46,0.81,0.14,2.69,Same,No,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",4,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",2,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),All procedures,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",9,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,504,3,4.25,0.71,0.18,1.92,Same,No,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,128,1,0.92,1.09,0.03,6.08,Same,No,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,12,0,0.1,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,65,0,0.64,0,0,5.79,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,26,0,0.69,0,0,5.35,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,87,0,0.61,0,0,6.07,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,26,0,0.02,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,8,0,0.07,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,22,0,0.14,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,10,0,0.03,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,59,1,0.68,1.47,0.04,8.18,Same,No,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,20,1,0.3,3.33,0.08,18.57,Same,No,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,39,0,0.06,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.01,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
